place,Jurisdiction,Age,Females,Males,year
421,Arvada,0-4,3127.0,3329,2016.0
422,Aurora,0-4,12996.0,13155,2016.0
423,Bennett,0-4,35.0,32,2016.0
424,Black Hawk,0-4,0.0,0,2016.0
425,Boulder City,0-4,1797.0,1750,2016.0
426,Adams County,0-4,18216.0,18878,2016.0
427,Arapahoe County,0-4,19746.0,20667,2016.0
428,Boulder County,0-4,7511.0,8092,2016.0
429,Broomfield City/County,0-4,1806.0,1884,2016.0
430,Clear Creek County,0-4,151.0,229,2016.0
431,Denver City/County,0-4,21692.0,22513,2016.0
431,Denver City/County,0-4,21692.0,22513,2016.0
432,Douglas County,0-4,9479.0,10484,2016.0
433,Gilpin County,0-4,92.0,193,2016.0
434,Jefferson County,0-4,14564.0,15281,2016.0
435,Bow Mar,0-4,20.0,8,2016.0
436,Weld County,0-4,9885.0,10624,2016.0
437,Brighton,0-4,1198.0,1417,2016.0
438,Castle Pines,0-4,190.0,222,2016.0
439,Castle Rock,0-4,1865.0,2671,2016.0
440,Centennial,0-4,2942.0,2974,2016.0
441,Central City,0-4,0.0,40,2016.0
442,Cherry Hills Village,0-4,127.0,104,2016.0
443,Columbine Valley,0-4,20.0,30,2016.0
444,Commerce City,0-4,2565.0,2799,2016.0
445,Dacono,0-4,143.0,142,2016.0
446,Deer Trail,0-4,18.0,25,2016.0
447,Edgewater,0-4,323.0,127,2016.0
448,Elizabeth,0-4,52.0,19,2016.0
449,Empire,0-4,19.0,2,2016.0
450,Englewood,0-4,976.0,1139,2016.0
451,Erie,0-4,902.0,852,2016.0
452,Federal Heights,0-4,361.0,541,2016.0
453,Firestone,0-4,559.0,547,2016.0
454,Fort Lupton,0-4,232.0,429,2016.0
455,Foxfield,0-4,31.0,11,2016.0
456,Frederick,0-4,505.0,436,2016.0
457,Georgetown,0-4,15.0,15,2016.0
458,Glendale,0-4,77.0,132,2016.0
459,Golden,0-4,405.0,583,2016.0
459,Golden,0-4,405.0,583,2016.0
460,Greenwood Village,0-4,360.0,186,2016.0
461,Hudson,0-4,72.0,64,2016.0
462,Idaho Springs,0-4,73.0,72,2016.0
463,Jamestown,0-4,5.0,9,2016.0
464,Keenesburg,0-4,36.0,76,2016.0
465,Kiowa,0-4,20.0,20,2016.0
466,Lafayette,0-4,899.0,771,2016.0
467,Lakeside,0-4,0.0,0,2016.0
468,Lakewood,0-4,3731.0,4580,2016.0
469,Larkspur,0-4,4.0,0,2016.0
470,Littleton,0-4,1269.0,1019,2016.0
471,Lone Tree,0-4,528.0,322,2016.0
472,Longmont,0-4,2917.0,3238,2016.0
473,Louisville,0-4,498.0,502,2016.0
474,Lyons,0-4,85.0,60,2016.0
475,Mead,0-4,191.0,264,2016.0
476,Morrison,0-4,3.0,7,2016.0
477,Mountain View,0-4,22.0,18,2016.0
478,Nederland,0-4,15.0,29,2016.0
479,Northglenn,0-4,1062.0,1438,2016.0
480,Parker,0-4,1459.0,1924,2016.0
481,Platteville,0-4,76.0,62,2016.0
482,Sheridan,0-4,260.0,195,2016.0
483,Silver Plume,0-4,9.0,6,2016.0
484,Superior,0-4,370.0,422,2016.0
485,Thornton,0-4,5173.0,5075,2016.0
486,Ward,0-4,0.0,0,2016.0
487,Westminster,0-4,3592.0,3676,2016.0
488,Wheat Ridge,0-4,1016.0,632,2016.0
489,Weld County (DRCOG),0-4,2696.0,2602,2016.0
490,Region,0-4,103568.0,109384,2016.0
421,Arvada,5-9,3458.0,3538,2016.0
422,Aurora,5-9,12915.0,13974,2016.0
423,Bennett,5-9,73.0,71,2016.0
424,Black Hawk,5-9,5.0,0,2016.0
425,Boulder City,5-9,1956.0,2031,2016.0
426,Adams County,5-9,18117.0,19926,2016.0
427,Arapahoe County,5-9,20415.0,22149,2016.0
428,Boulder County,5-9,8599.0,9571,2016.0
429,Broomfield City/County,5-9,2375.0,2046,2016.0
430,Clear Creek County,5-9,194.0,175,2016.0
431,Denver City/County,5-9,19617.0,21059,2016.0
